,Tweets,polarity,Negative,Neutral,Positive,Compound
0,"Edo commissioner abducted, orderly shot dead https://t.co/NqGSEoDwhu https://t.co/G7Ojcbcu5d","{'neg': 0.559, 'neu': 0.441, 'pos': 0.0, 'compound': -0.8225}",0.559,0.441,0.0,-0.8225
1,"RT @PamKeithFL: We’re up to 40,000 dead Americans. That’s 40,000 devastated families in two months. 

That’s more than the losses of the en…","{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.9055}",0.36,0.64,0.0,-0.9055
2,"RT @minyoongijiminb: They run full speed into a dead end road and with ARMY they PAVED THEIR OWN WAY TO THE TOP OF THE TOP.

@BTS_twt #BANG…","{'neg': 0.133, 'neu': 0.711, 'pos': 0.157, 'compound': -0.0603}",0.133,0.711,0.157,-0.0603
3,"RT @nfcinereporter: His name was Muhammad Abdul Fattah Sattouf, he's dead on April 15 due to wounds sustained on Mar 3, due to explosion of…","{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.6486}",0.152,0.848,0.0,-0.6486
4,"RT @amyyqin: “My father loved this country,” his son said. “He sacrificed his own health to develop its nuclear weapons.” 

Remembering tho…","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.5994}",0.0,0.843,0.157,0.5994
5,"RT @quillandaxe: There's a lot of rocks that
still need kickin over

Walking around them 
means the ground
remains dead

Clear the plot
so…","{'neg': 0.154, 'neu': 0.753, 'pos': 0.093, 'compound': -0.4019}",0.154,0.753,0.093,-0.4019
6,RT @buta_kimu_: PlayStation 4からブロードキャストを始めました！ #PS4live (DEAD OR SCHOOL)  live at https://t.co/xKEoloixP7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
7,DOPE THEN FIRE THEN BST??????? DO THEY WANT ME DEAD???,"{'neg': 0.48, 'neu': 0.439, 'pos': 0.081, 'compound': -0.8105}",0.48,0.439,0.081,-0.8105
8,Almost two hours into my walk and I just stopped dead in my tracks. What is this!!!! Didn’t know it had arrived. Mu… https://t.co/JjaBvOQ1hO,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.811}",0.26,0.74,0.0,-0.811
9,RT @ronthacreator: R&amp;B isn’t dead. Y’all just lazy music listeners.,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.7783}",0.459,0.541,0.0,-0.7783
10,"@sgflash71 @richardmarx @RexChapman Be an adult, 35,000 Americans are dead.  Your guy knew was coming but played go… https://t.co/jcND1w7hXe","{'neg': 0.116, 'neu': 0.747, 'pos': 0.136, 'compound': 0.1154}",0.116,0.747,0.136,0.1154
11,RT @iChexo: Yet again I ask “why must we not speak ill of the dead” if they did no good whilst alive? As long as our rulers pretend to gove…,"{'neg': 0.102, 'neu': 0.677, 'pos': 0.221, 'compound': 0.6407}",0.102,0.677,0.221,0.6407
12,RT @teamMANNY_: You dead to me after you show me you not real,"{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.6486}",0.264,0.736,0.0,-0.6486
13,"RT @ntvuganda: Burial is not an emergency, people in the village will conduct the funeral ceremony and you will find the dead body inside t…","{'neg': 0.219, 'neu': 0.71, 'pos': 0.07, 'compound': -0.6824}",0.219,0.71,0.07,-0.6824
14,You dead nosey smh https://t.co/VUPWEkHciB,"{'neg': 0.808, 'neu': 0.192, 'pos': 0.0, 'compound': -0.8126}",0.808,0.192,0.0,-0.8126
15,"@js_edit @nothing_dave 45*, FUX, R donors. They have no skin in the game. They want the workers to get back to work… https://t.co/oZgPKThlIi","{'neg': 0.094, 'neu': 0.851, 'pos': 0.055, 'compound': -0.2263}",0.094,0.851,0.055,-0.2263
16,"RT @William_Ukpe: Nigerian Politicians will literally force you to eat sand when they are in power

But when they die, a clique of worshipp…","{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5994}",0.151,0.849,0.0,-0.5994
17,Whoever made himself/herself present for the burial rite of Abba Kyari.... for neither being COVID-19 Task force sh… https://t.co/Bm3Ut5Twas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
18,@JohnBrennan Your pants are on fire again. #44 &amp; Co. after waiting more than 6 MONTHS when 50 million citizens were… https://t.co/iKrIA9dcUI,"{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.34}",0.107,0.893,0.0,-0.34
19,RT @pepesgrandma: Husband and wife lawyers that worked with Obama  found dead under 'suspicious circumstances' in Chicago area home https:/…,"{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.7783}",0.274,0.726,0.0,-0.7783
20,@chewyuk @Natures_Voice I absolutely love them. Couple of weeks ago I came across one of a pair that have been a re… https://t.co/FnudaQ47rp,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6697}",0.0,0.8,0.2,0.6697
21,"RT @von_Bismack: @aishambuhari Hope your daughter shares your thoughts also?.
For what is dead may never die. https://t.co/h26qIZ27f7","{'neg': 0.162, 'neu': 0.527, 'pos': 0.311, 'compound': 0.449}",0.162,0.527,0.311,0.449
22,"RT @dennisak: that if you confess with your mouth the Lord Jesus and believe in your heart that God has raised Him from the dead, you will…","{'neg': 0.137, 'neu': 0.796, 'pos': 0.067, 'compound': -0.4939}",0.137,0.796,0.067,-0.4939
23,RT @twdouns: et il t’a envoyé le screen tout en étant persuadé d’avoir dead ça,"{'neg': 0.309, 'neu': 0.691, 'pos': 0.0, 'compound': -0.7003}",0.309,0.691,0.0,-0.7003
24,@charliekirk11 @realDonaldTrump What good is giving money to small businesses when all its customers and dead broke?,"{'neg': 0.28, 'neu': 0.512, 'pos': 0.209, 'compound': -0.4215}",0.28,0.512,0.209,-0.4215
25,RT @LenGamesGun: Dead by Daylight เวอร์ชั่นมือถือเปิดให้เล่นแล้วนะทุกคนนน🧟‍♂️✨ เกมแนว Survival ที่หลายๆ คนน่าจะรู้จักดี เราได้ลองเล่นแล้ว…,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",0.301,0.699,0.0,-0.6486
26,"RT @MinusTF2: When Scout finally finds out that Tom Jones is actually dead, what will he feel? Now he can be rich, but his idol (and ""fathe…","{'neg': 0.088, 'neu': 0.835, 'pos': 0.077, 'compound': -0.09}",0.088,0.835,0.077,-0.09
27,@mavisr @waltshaub Unfortunately satire is dead in trump's America. Life is now imitating art. https://t.co/IKS1H0bmxh,"{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.7717}",0.34,0.66,0.0,-0.7717
