,Tweets,polarity,Negative,Neutral,Positive,Compound
0,Today is a good day. I thought I had to work a double but I actually don’t 🤗,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.2382}",0.0,0.849,0.151,0.2382
1,RT @teetwin: Paying off your credit card feels so good.,"{'neg': 0.0, 'neu': 0.558, 'pos': 0.442, 'compound': 0.7462}",0.0,0.558,0.442,0.7462
2,RT @OliDillon: 115 #PPEVisors have gone out this morning in a range of different colours it’s giving me a good opportunity to try out diffe…,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.7964}",0.0,0.712,0.288,0.7964
3,"RT @drapertools: #WIN! A Draper Home Improvement Tool Kit to help you tackle your next DIY project.

The prize includes a tool bag, screwdr…","{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.8516}",0.0,0.672,0.328,0.8516
4,"19 bucks -------- RT if good deal | like if like! #eBay #deal #XboxOne #RedDeadRedemption2 
🔗… https://t.co/78ME6iJNQI","{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.8016}",0.0,0.613,0.387,0.8016
5,"RT @richardmarx: Hey, remember how for years we had “smoking” and “non-smoking” sections of planes and restaurants? Then, eventually, enoug…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
6,"RT @ilyerene: 🗣 wendy drank grapefruit green tea ade again? that tasted like chestnut shell
🐰 lmao they said it tasted like chestnut shell…","{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.836}",0.0,0.681,0.319,0.836
7,RT @6SWEETCHA0S: @ygmsoo13 @koolestjeon if only know title tracks then u are definitely missing out on some good stuff,"{'neg': 0.096, 'neu': 0.658, 'pos': 0.246, 'compound': 0.5267}",0.096,0.658,0.246,0.5267
8,"RT @AdamMGrant: In crisis, leadership is not waiting, downplaying, deflecting, or justifying past actions.

It's acting swiftly, communicat…","{'neg': 0.184, 'neu': 0.717, 'pos': 0.099, 'compound': -0.4404}",0.184,0.717,0.099,-0.4404
9,@ZwartblesIE Good for the soul,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.0,0.58,0.42,0.4404
10,"RT @brooksied: yallllll

another thread i know…BUT YOU HAVE TO READ THESE TWO STORIES. 

your heart will thank you 💖

(spoiler: people are…","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.0,0.889,0.111,0.3612
11,@heartissahurt @Himma_is_trash 9anime / animeheaven is good,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.0,0.633,0.367,0.4404
12,"RT @LadyQanuck: Good morning, Patriots!

Schumann Resonance is off the charts today! VERY energetic day! Are you feeling it? ✨ https://t.co…","{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.8482}",0.0,0.649,0.351,0.8482
13,@ITalkFortnite Good morning!,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4926}",0.0,0.385,0.615,0.4926
14,@eshaa_says Good,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.0,0.256,0.744,0.4404
15,"RT @4mrkhyck: RELOAD ALBUM GIVEAWAY

to celebrate nct dreams new comeback as ot7 i will be giving away: 2 NCT Dream Reload albums 

- like…","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.8689}",0.0,0.625,0.375,0.8689
16,"RT @mitchellvii: Face it.

We are not reopening the economy now because it was a good idea before and we've now beaten COVID-19. We are reo…","{'neg': 0.098, 'neu': 0.801, 'pos': 0.101, 'compound': 0.0258}",0.098,0.801,0.101,0.0258
17,@gotsmpatience okay good i love u,"{'neg': 0.0, 'neu': 0.1, 'pos': 0.9, 'compound': 0.8402}",0.0,0.1,0.9,0.8402
18,@undeadscribe Oh good god. Why? Just why.,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.6124}",0.0,0.5,0.5,0.6124
19,"RT @Pastor__West: Dear Lord,

Today, may You bring a quick and miraculous end to the darkness in our world. Whether Your healing comes toda…","{'neg': 0.078, 'neu': 0.82, 'pos': 0.102, 'compound': 0.1531}",0.078,0.82,0.102,0.1531
