,Tweets,polarity,Negative,Neutral,Positive,Compound
0,"RT @JyotiHuron: Dhaman-I ventilator production is ramping up.
#dhaman #ventilator #jyoticnc #COVID19 #IndiaFightsCorona #coronavirus #coron…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
1,@imlksharma @BeCureFit @advani_kiara @DishPatani @iHrithik @shwe_tambari @narendramodi Lalit currently PM is busy i… https://t.co/0jYoZYIsWI,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
2,"RT @OKAZ_online: 📷 #صور| عربة عيادات متنقلة تواجدت في عدد من أحياء #حائل لفحص العمالة وتوعيتهم للوقاية من #فيروس_كورونا.
#كورونا #corona…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
3,"RT @singhmanoramaa: Spitters
Stone pelters 
Corona spreaders 
All are they humans ?? My money is not for these inhumane 
#मेरा_पैसा_मेरी_म…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
4,RT @Tino_Chrupalla: Der Staat hat seine schwarze Null auf Kosten der arbeitenden Bevölkererung erwirtschaftet. Durch Niedriglöhne und hohe…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
5,RT @feiland: Pretty impressive: Close to our office in Beşiktaş (#Istanbul) they changed the traffic light button! With some kind of sensor…,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.7777}",0.0,0.746,0.254,0.7777
6,"RT @GefrKamnitzer: @DrDavidBerger @Augstein @georgrestle ""Neue Normalität"" = ""Jetzt haben wir euch endlich da, wo wir euch schon immer habe…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
7,"RT @iamLXRDTM: 150 years is a reach. The @PoliceNG is in a race to kill more people in this lockdown than the Corona Virus. Every day, you…","{'neg': 0.163, 'neu': 0.799, 'pos': 0.038, 'compound': -0.6808}",0.163,0.799,0.038,-0.6808
8,"RT @Being_Humor: NEVER FORGET

When the whole country was praising and applauding Doctors for their contribution in fighting Corona, @Arvin…","{'neg': 0.092, 'neu': 0.586, 'pos': 0.323, 'compound': 0.7437}",0.092,0.586,0.323,0.7437
9,"RT @VishveshVVv: List with name of corona positive patients in INDORE.

 Minorities constitute 16% of the total population in Indore.

 If…","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5574}",0.0,0.847,0.153,0.5574
10,RT @AFAD_Adana: 🔴Corona Virüs (Covid-19) nedeniyle bugün Suudi Arabistan’dan Havayoluyla Adana’ya gelen 171 kişi KYK yurtlarında 1️⃣4️⃣ gün…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
11,@itsprincesslima Dont let them give corona abeg. The surround yourself is postponed till next year,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.2023}",0.114,0.886,0.0,-0.2023
12,@minmpkrishi @JansamparkMP Post today corona bulletin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
